COUNTRY,YEAR,total_events,total_fatalities,avg_population_exposure,num_weeks_with_events,num_event_types,num_admin_regions
Bahrain,2015,12,0,30567.333333333332,1,2,3
Bahrain,2016,3212,5,66364.8782816229,53,6,4
Bahrain,2017,3744,17,67362.06698564593,52,6,4
Bahrain,2018,1602,0,58122.27702702703,52,4,4
Bahrain,2019,715,1,35209.654867256635,52,4,4
Bahrain,2020,299,0,29513.778761061945,38,4,4
Bahrain,2021,1171,0,32416.822580645163,51,4,5
Bahrain,2022,729,0,23197.789115646257,53,4,5
Bahrain,2023,823,0,29760.145833333332,52,4,4
Bahrain,2024,825,0,35346.01244813278,52,4,4
Bahrain,2025,729,0,33795.99227799228,52,4,4
Bahrain,2026,285,1,33552.72727272727,10,5,4
Iran,2015,2,0,18908.5,1,1,2
Iran,2016,1790,269,38616.41857335128,53,6,31
Iran,2017,2668,199,45039.11361310133,52,6,31
Iran,2018,3105,244,48217.23692003949,52,6,31
Iran,2019,2589,480,51494.705882352944,52,6,31
Iran,2020,2387,433,49900.014675052415,52,6,31
Iran,2021,4288,220,53773.60197869102,52,6,33
Iran,2022,4615,738,72649.06796727501,53,6,33
Iran,2023,4181,306,54533.67467398765,52,6,35
Iran,2024,3786,273,48141.99923254029,52,6,33
Iran,2025,4536,1318,88509.63330898466,52,6,34
Iran,2026,2635,28331,111629.15384615384,10,6,35
Iraq,2015,23,123,126908.33333333333,1,4,5
Iraq,2016,10588,57735,255404.9423503326,53,6,18
Iraq,2017,5238,30546,168278.1466480447,52,6,17
Iraq,2018,3667,5159,129302.10827586208,52,6,18
Iraq,2019,3721,3514,97013.52734638758,52,6,18
Iraq,2020,6282,2662,108032.5313670412,52,6,18
Iraq,2021,7600,2598,125349.72058155383,52,6,18
Iraq,2022,7855,2136,162088.42389687654,53,6,18
Iraq,2023,6553,1390,165229.53678822776,52,6,18
Iraq,2024,9524,1023,124116.30315224681,52,6,18
Iraq,2025,5377,597,89062.0149142431,52,6,18
Iraq,2026,1050,133,89178.8705882353,10,6,18
Israel,2015,3,2,167573.33333333334,1,3,3
Israel,2016,211,15,45856.272108843536,51,6,6
Israel,2017,431,10,41894.030303030304,52,6,6
Israel,2018,800,7,44961.666666666664,52,6,6
Israel,2019,833,11,45616.565217391304,52,6,6
Israel,2020,1663,1,67627.08924485126,52,6,6
Israel,2021,1657,25,62652.5203539823,52,6,7
Israel,2022,1083,31,51834.7694063927,53,6,7
Israel,2023,4304,1773,98051.38836477988,52,6,6
Israel,2024,5688,100,72957.58279845957,52,6,8
Israel,2025,2236,50,66664.92639138241,52,6,8
Israel,2026,661,15,54990.16279069767,10,6,7
Jordan,2016,113,66,45258.36842105263,37,6,11
Jordan,2017,134,34,40584.3417721519,32,6,12
Jordan,2018,795,20,40778.54700854701,52,6,12
Jordan,2019,842,25,43247.95988538682,52,6,12
Jordan,2020,377,16,47426.39361702128,50,5,12
Jordan,2021,404,9,35092.61502347418,51,5,12
Jordan,2022,466,14,39863.57251908397,53,5,12
Jordan,2023,463,7,43270.90731707317,49,6,12
Jordan,2024,323,3,36456.23880597015,51,5,12
Jordan,2025,92,9,43645.59322033898,34,6,12
Jordan,2026,30,1,,6,4,7
Kuwait,2016,13,0,29301.3,12,4,4
Kuwait,2017,4,0,13536.0,3,1,2
Kuwait,2018,5,0,11572.75,4,1,2
Kuwait,2019,22,0,14782.842105263158,17,2,4
Kuwait,2020,21,1,12893.615384615385,14,3,3
Kuwait,2021,13,0,8482.272727272728,12,2,2
Kuwait,2022,22,0,9595.363636363636,15,2,2
Kuwait,2023,18,0,8606.857142857143,15,2,2
Kuwait,2024,9,0,10836.0,9,2,2
Kuwait,2026,62,12,10039.0,2,3,6
Lebanon,2015,2,0,11912.5,1,1,2
Lebanon,2016,929,221,54841.11287128713,53,6,8
Lebanon,2017,754,389,46896.91066997519,52,6,8
Lebanon,2018,577,36,53277.18260869565,52,6,8
Lebanon,2019,3658,25,78604.98965517241,52,6,8
Lebanon,2020,2931,48,74346.28611500701,52,6,8
Lebanon,2021,3210,74,66300.08310991956,52,6,8
Lebanon,2022,1310,54,53956.63652173913,53,6,8
Lebanon,2023,3294,291,53059.71305841924,52,6,8
Lebanon,2024,14541,4035,65264.3772070626,52,6,8
Lebanon,2025,3705,411,26615.6825633383,52,6,8
Lebanon,2026,1687,640,33389.03921568627,10,6,8
Oman,2016,3,0,,3,1,2
Oman,2017,1,0,,1,1,1
Oman,2018,7,0,11989.0,4,2,3
Oman,2019,1,0,,1,1,1
Oman,2020,6,0,,4,1,2
Oman,2021,21,2,8734.615384615385,4,4,7
Oman,2022,9,0,,8,1,3
Oman,2023,15,0,12113.0,10,2,8
Oman,2024,6,10,58724.8,5,3,3
Oman,2025,2,0,,2,1,2
Oman,2026,19,9,,2,2,8
Palestine,2015,2,0,34517.0,1,2,1
Palestine,2016,1220,178,69077.18208092486,53,6,2
Palestine,2017,1704,125,78496.86153846154,52,6,2
Palestine,2018,5870,411,126237.35355285963,52,6,2
Palestine,2019,5190,183,116084.87221095334,52,6,2
Palestine,2020,5548,58,118851.86111111111,52,6,2
Palestine,2021,7225,395,133359.60317460317,52,6,2
Palestine,2022,9147,230,150673.94405594407,53,6,2
Palestine,2023,14317,23625,232278.05504587156,52,6,2
Palestine,2024,21010,29921,335487.3344155844,52,6,2
Palestine,2025,18416,16672,257576.62166666667,52,6,2
Palestine,2026,2701,388,241791.80952380953,10,6,2
Qatar,2017,1,0,,1,1,1
Qatar,2019,4,0,82312.25,3,2,2
Qatar,2020,7,0,21930.5,6,2,3
Qatar,2021,19,0,33310.375,8,2,4
Qatar,2022,10,0,29719.166666666668,7,3,3
Qatar,2023,20,0,27083.363636363636,11,2,2
Qatar,2025,7,6,54309.5,4,2,2
Qatar,2026,35,0,,2,3,6
Saudi Arabia,2015,446,878,69728.89436619719,40,5,7
Saudi Arabia,2016,723,1284,42210.90366972477,51,6,9
Saudi Arabia,2017,769,1425,52971.24344569288,52,5,8
Saudi Arabia,2018,847,1499,37513.30268199234,52,6,8
Saudi Arabia,2019,299,1043,39978.67567567567,49,6,7
Saudi Arabia,2020,120,54,60425.04081632653,43,6,8
Saudi Arabia,2021,241,20,91939.6393442623,46,4,9
Saudi Arabia,2022,63,89,81825.55555555556,23,4,7
Saudi Arabia,2023,24,193,84350.85714285714,13,4,11
Saudi Arabia,2024,5,12,42035.0,5,2,3
Saudi Arabia,2025,19,1,96936.0,18,3,4
Saudi Arabia,2026,56,3,,2,3,5
Syria,2016,465,568,121842.23076923077,1,5,14
Syria,2017,31408,54334,119750.0655105973,52,6,14
Syria,2018,20645,30244,87620.00470286448,52,6,14
Syria,2019,19953,15122,84584.41923607915,52,6,14
Syria,2020,12367,8390,56056.713583556746,52,6,14
Syria,2021,10801,6093,50992.401754385966,52,6,14
Syria,2022,12621,6178,56904.33422103862,53,6,14
Syria,2023,12811,6327,59402.784057359764,52,6,14
Syria,2024,15805,7109,67534.20257478228,52,6,14
Syria,2025,10303,7839,67987.52465078062,52,6,14
Syria,2026,2109,790,75482.6,10,6,14
Turkey,2015,8,14,100257.0,1,4,4
Turkey,2016,4265,4526,77351.76869565218,53,6,80
Turkey,2017,1764,2612,54081.20253164557,52,6,74
Turkey,2018,3080,990,52480.41330343797,52,6,72
Turkey,2019,4746,557,53082.48730964467,52,6,80
Turkey,2020,4268,359,72032.39971139972,52,6,79
Turkey,2021,4741,213,48776.374153846155,52,6,78
Turkey,2022,5641,219,53480.95377677565,53,6,81
Turkey,2023,6073,149,50079.90367428004,52,6,81
Turkey,2024,7235,55,46395.57889990983,52,6,81
Turkey,2025,5896,15,42743.96145833333,52,6,82
Turkey,2026,1439,1,52105.82089552239,10,5,67
United Arab Emirates,2017,1,0,3766.0,1,1,1
United Arab Emirates,2018,2,0,19467.0,2,2,1
United Arab Emirates,2019,2,0,8781.0,2,2,2
United Arab Emirates,2020,4,2,,4,2,3
United Arab Emirates,2021,4,0,27065.0,3,3,2
United Arab Emirates,2022,25,3,109820.54545454546,11,4,3
United Arab Emirates,2023,4,0,9685.0,4,2,2
United Arab Emirates,2024,2,1,127753.0,2,2,1
United Arab Emirates,2025,4,0,36312.666666666664,4,3,2
United Arab Emirates,2026,83,6,,2,2,6
Yemen,2014,15,27,88172.27272727272,1,4,8
Yemen,2015,8078,17577,99572.72046669907,52,6,22
Yemen,2016,9271,16034,63884.3616398243,53,6,23
Yemen,2017,8464,17559,59109.59309994926,52,6,24
Yemen,2018,11474,34202,64507.891304347824,52,6,24
Yemen,2019,11821,27812,53676.37247474748,52,6,24
Yemen,2020,11826,19707,45341.91954490045,52,6,26
Yemen,2021,8833,18378,46405.23753527752,52,6,25
Yemen,2022,8244,6679,48349.688342967245,53,6,26
Yemen,2023,7640,2648,43582.56429856115,52,6,25
Yemen,2024,12953,3052,67542.94032395567,52,6,29
Yemen,2025,12811,2899,57053.09853862213,52,6,29
Yemen,2026,1390,398,34228.14772727273,10,6,24
