COUNTRY,country_id,iso_code,wb_region,current_income_group,lending_category
Bahrain,1,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,
Iran,2,IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
Iraq,3,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
Israel,4,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income,
Jordan,5,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
Kuwait,6,KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income,
Lebanon,7,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD
Oman,8,OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income,
Palestine,9,PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,
Qatar,10,QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income,
Saudi Arabia,11,SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income,
Syria,12,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA
Turkey,13,,,,
United Arab Emirates,14,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income,
Yemen,15,YEM,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA
