COUNTRY,income_classification,YEAR
Bahrain,H,1989
Iran,UM,1989
Iraq,UM,1989
Israel,H,1989
Jordan,LM,1989
Kuwait,H,1989
Lebanon,LM,1989
Oman,UM,1989
Qatar,H,1989
Saudi Arabia,H,1989
Syria,LM,1989
United Arab Emirates,H,1989
Palestine,,1989
Yemen,LM*,1989
Bahrain,H,1990
Iran,UM,1990
Iraq,UM,1990
Israel,H,1990
Jordan,LM,1990
Kuwait,H,1990
Lebanon,LM,1990
Oman,UM,1990
Qatar,H,1990
Saudi Arabia,H,1990
Syria,LM,1990
United Arab Emirates,H,1990
Palestine,,1990
Yemen,LM*,1990
Bahrain,H,1991
Iran,UM,1991
Iraq,UM,1991
Israel,H,1991
Jordan,LM,1991
Kuwait,H,1991
Lebanon,LM,1991
Oman,UM,1991
Qatar,H,1991
Saudi Arabia,H,1991
Syria,LM,1991
United Arab Emirates,H,1991
Palestine,,1991
Yemen,LM,1991
Bahrain,UM,1992
Iran,LM,1992
Iraq,UM,1992
Israel,H,1992
Jordan,LM,1992
Kuwait,H,1992
Lebanon,LM,1992
Oman,UM,1992
Qatar,H,1992
Saudi Arabia,UM,1992
Syria,LM,1992
United Arab Emirates,H,1992
Palestine,,1992
Yemen,LM,1992
Bahrain,UM,1993
Iran,LM,1993
Iraq,LM,1993
Israel,H,1993
Jordan,LM,1993
Kuwait,H,1993
Lebanon,LM,1993
Oman,UM,1993
Qatar,H,1993
Saudi Arabia,UM,1993
Syria,LM,1993
United Arab Emirates,H,1993
Palestine,,1993
Yemen,L,1993
Bahrain,UM,1994
Iran,LM,1994
Iraq,LM,1994
Israel,H,1994
Jordan,LM,1994
Kuwait,H,1994
Lebanon,LM,1994
Oman,UM,1994
Qatar,H,1994
Saudi Arabia,UM,1994
Syria,LM,1994
United Arab Emirates,H,1994
Palestine,,1994
Yemen,L,1994
Bahrain,UM,1995
Iran,LM,1995
Iraq,LM,1995
Israel,H,1995
Jordan,LM,1995
Kuwait,H,1995
Lebanon,LM,1995
Oman,UM,1995
Qatar,H,1995
Saudi Arabia,UM,1995
Syria,LM,1995
United Arab Emirates,H,1995
Palestine,,1995
Yemen,L,1995
Bahrain,UM,1996
Iran,LM,1996
Iraq,LM,1996
Israel,H,1996
Jordan,LM,1996
Kuwait,H,1996
Lebanon,LM,1996
Oman,UM,1996
Qatar,H,1996
Saudi Arabia,UM,1996
Syria,LM,1996
United Arab Emirates,H,1996
Palestine,LM,1996
Yemen,L,1996
Bahrain,UM,1997
Iran,LM,1997
Iraq,LM,1997
Israel,H,1997
Jordan,LM,1997
Kuwait,H,1997
Lebanon,LM,1997
Oman,UM,1997
Qatar,H,1997
Saudi Arabia,UM,1997
Syria,LM,1997
United Arab Emirates,H,1997
Palestine,LM,1997
Yemen,L,1997
Bahrain,UM,1998
Iran,LM,1998
Iraq,LM,1998
Israel,H,1998
Jordan,LM,1998
Kuwait,H,1998
Lebanon,LM,1998
Oman,UM,1998
Qatar,H,1998
Saudi Arabia,UM,1998
Syria,LM,1998
United Arab Emirates,H,1998
Palestine,LM,1998
Yemen,L,1998
Bahrain,UM,1999
Iran,LM,1999
Iraq,LM,1999
Israel,H,1999
Jordan,LM,1999
Kuwait,H,1999
Lebanon,UM,1999
Oman,UM,1999
Qatar,H,1999
Saudi Arabia,UM,1999
Syria,LM,1999
United Arab Emirates,H,1999
Palestine,LM,1999
Yemen,L,1999
Bahrain,UM,2000
Iran,LM,2000
Iraq,LM,2000
Israel,H,2000
Jordan,LM,2000
Kuwait,H,2000
Lebanon,UM,2000
Oman,UM,2000
Qatar,H,2000
Saudi Arabia,UM,2000
Syria,LM,2000
United Arab Emirates,H,2000
Palestine,LM,2000
Yemen,L,2000
Bahrain,UM,2001
Iran,LM,2001
Iraq,LM,2001
Israel,H,2001
Jordan,LM,2001
Kuwait,H,2001
Lebanon,UM,2001
Oman,UM,2001
Qatar,H,2001
Saudi Arabia,UM,2001
Syria,LM,2001
United Arab Emirates,H,2001
Palestine,LM,2001
Yemen,L,2001
Bahrain,UM,2002
Iran,LM,2002
Iraq,LM,2002
Israel,H,2002
Jordan,LM,2002
Kuwait,H,2002
Lebanon,UM,2002
Oman,UM,2002
Qatar,H,2002
Saudi Arabia,UM,2002
Syria,LM,2002
United Arab Emirates,H,2002
Palestine,LM,2002
Yemen,L,2002
Bahrain,H,2003
Iran,LM,2003
Iraq,LM,2003
Israel,H,2003
Jordan,LM,2003
Kuwait,H,2003
Lebanon,UM,2003
Oman,UM,2003
Qatar,H,2003
Saudi Arabia,UM,2003
Syria,LM,2003
United Arab Emirates,H,2003
Palestine,LM,2003
Yemen,L,2003
Bahrain,H,2004
Iran,LM,2004
Iraq,LM,2004
Israel,H,2004
Jordan,LM,2004
Kuwait,H,2004
Lebanon,UM,2004
Oman,UM,2004
Qatar,H,2004
Saudi Arabia,UM,2004
Syria,LM,2004
United Arab Emirates,H,2004
Palestine,LM,2004
Yemen,L,2004
Bahrain,H,2005
Iran,LM,2005
Iraq,LM,2005
Israel,H,2005
Jordan,LM,2005
Kuwait,H,2005
Lebanon,UM,2005
Oman,UM,2005
Qatar,H,2005
Saudi Arabia,UM,2005
Syria,LM,2005
United Arab Emirates,H,2005
Palestine,LM,2005
Yemen,L,2005
Bahrain,H,2006
Iran,LM,2006
Iraq,LM,2006
Israel,H,2006
Jordan,LM,2006
Kuwait,H,2006
Lebanon,UM,2006
Oman,UM,2006
Qatar,H,2006
Saudi Arabia,H,2006
Syria,LM,2006
United Arab Emirates,H,2006
Palestine,LM,2006
Yemen,L,2006
Bahrain,H,2007
Iran,LM,2007
Iraq,LM,2007
Israel,H,2007
Jordan,LM,2007
Kuwait,H,2007
Lebanon,UM,2007
Oman,UM,2007
Qatar,H,2007
Saudi Arabia,H,2007
Syria,LM,2007
United Arab Emirates,H,2007
Palestine,LM,2007
Yemen,L,2007
